company_code,year,index_id,index_name,unit,note,value
NAF,2023,34,Dividend payment,VND,,
NAF,2023,36,Number of employees,people,,
NAF,2024,1,Managerial ownership,%,,
NAF,2024,2,State ownership,%,,
NAF,2024,3,Institutional ownership,%,,
NAF,2024,4,Foreign ownership,%,,
NAF,2024,19,Product innovation,binary,,
NAF,2024,20,Process innovation,binary,,
NAF,2024,34,Dividend payment,VND,,
NAF,2024,36,Number of employees,people,,
NTP,2020,1,Managerial ownership,%,,
NTP,2020,2,State ownership,%,,
NTP,2020,3,Institutional ownership,%,,
NTP,2020,4,Foreign ownership,%,,
NTP,2020,19,Product innovation,binary,,
NTP,2020,20,Process innovation,binary,,
NTP,2020,34,Dividend payment,VND,,
NTP,2020,36,Number of employees,people,,
NTP,2021,1,Managerial ownership,%,,
NTP,2021,2,State ownership,%,,
NTP,2021,3,Institutional ownership,%,,
NTP,2021,4,Foreign ownership,%,,
NTP,2021,19,Product innovation,binary,,
NTP,2021,20,Process innovation,binary,,
NTP,2021,34,Dividend payment,VND,,
NTP,2021,36,Number of employees,people,,
NTP,2022,1,Managerial ownership,%,,
NTP,2022,2,State ownership,%,,
NTP,2022,3,Institutional ownership,%,,
NTP,2022,4,Foreign ownership,%,,
NTP,2022,19,Product innovation,binary,,
NTP,2022,20,Process innovation,binary,,
NTP,2022,34,Dividend payment,VND,,
NTP,2022,36,Number of employees,people,,
NTP,2023,1,Managerial ownership,%,,
NTP,2023,2,State ownership,%,,
NTP,2023,3,Institutional ownership,%,,
NTP,2023,4,Foreign ownership,%,,
NTP,2023,19,Product innovation,binary,,
NTP,2023,20,Process innovation,binary,,
NTP,2023,34,Dividend payment,VND,,
NTP,2023,36,Number of employees,people,,
NTP,2024,1,Managerial ownership,%,,
NTP,2024,2,State ownership,%,,
NTP,2024,3,Institutional ownership,%,,
NTP,2024,4,Foreign ownership,%,,
NTP,2024,19,Product innovation,binary,,
NTP,2024,20,Process innovation,binary,,
NTP,2024,34,Dividend payment,VND,,
NTP,2024,36,Number of employees,people,,
PLX,2020,1,Managerial ownership,%,,
PLX,2020,2,State ownership,%,,
PLX,2020,3,Institutional ownership,%,,
PLX,2020,4,Foreign ownership,%,,
PLX,2020,19,Product innovation,binary,,
PLX,2020,20,Process innovation,binary,,
PLX,2020,34,Dividend payment,VND,,
PLX,2020,36,Number of employees,people,,
PLX,2021,1,Managerial ownership,%,,
PLX,2021,2,State ownership,%,,
PLX,2021,3,Institutional ownership,%,,
PLX,2021,4,Foreign ownership,%,,
PLX,2021,19,Product innovation,binary,,
PLX,2021,20,Process innovation,binary,,
PLX,2021,34,Dividend payment,VND,,
PLX,2021,36,Number of employees,people,,
PLX,2022,1,Managerial ownership,%,,
PLX,2022,2,State ownership,%,,
PLX,2022,3,Institutional ownership,%,,
PLX,2022,4,Foreign ownership,%,,
PLX,2022,19,Product innovation,binary,,
PLX,2022,20,Process innovation,binary,,
PLX,2022,34,Dividend payment,VND,,
PLX,2022,36,Number of employees,people,,
PLX,2023,1,Managerial ownership,%,,
PLX,2023,2,State ownership,%,,
PLX,2023,3,Institutional ownership,%,,
PLX,2023,4,Foreign ownership,%,,
PLX,2023,19,Product innovation,binary,,
PLX,2023,20,Process innovation,binary,,
PLX,2023,34,Dividend payment,VND,,
PLX,2023,36,Number of employees,people,,
PLX,2024,1,Managerial ownership,%,,
PLX,2024,2,State ownership,%,,
PLX,2024,3,Institutional ownership,%,,
PLX,2024,4,Foreign ownership,%,,
PLX,2024,19,Product innovation,binary,,
PLX,2024,20,Process innovation,binary,,
PLX,2024,34,Dividend payment,VND,,
PLX,2024,36,Number of employees,people,,
PNJ,2020,1,Managerial ownership,%,,
PNJ,2020,2,State ownership,%,,
PNJ,2020,3,Institutional ownership,%,,
PNJ,2020,4,Foreign ownership,%,,
PNJ,2020,19,Product innovation,binary,,
PNJ,2020,20,Process innovation,binary,,
PNJ,2020,34,Dividend payment,VND,,
PNJ,2020,36,Number of employees,people,,
PNJ,2021,1,Managerial ownership,%,,
PNJ,2021,2,State ownership,%,,
PNJ,2021,3,Institutional ownership,%,,
PNJ,2021,4,Foreign ownership,%,,
PNJ,2021,19,Product innovation,binary,,
PNJ,2021,20,Process innovation,binary,,
PNJ,2021,34,Dividend payment,VND,,
PNJ,2021,36,Number of employees,people,,
PNJ,2022,1,Managerial ownership,%,,
PNJ,2022,2,State ownership,%,,
PNJ,2022,3,Institutional ownership,%,,
PNJ,2022,4,Foreign ownership,%,,
PNJ,2022,19,Product innovation,binary,,
PNJ,2022,20,Process innovation,binary,,
PNJ,2022,34,Dividend payment,VND,,
PNJ,2022,36,Number of employees,people,,
PNJ,2023,1,Managerial ownership,%,,
PNJ,2023,2,State ownership,%,,
PNJ,2023,3,Institutional ownership,%,,
