company_code,year,index_id,index_name,value,unit,source
KDC,2020,6,Total sales revenue and Net sales revenue,3115100665935.0,VND,pdf
KDC,2020,8,Selling expenses,333765494653.0,VND,pdf
KDC,2020,14,Merchandise purchase of the year,-2867882440464.0,VND,pdf
KDC,2020,17,Production cost,-2867882440464.0,VND,pdf
KDC,2020,21,Net Income,1201626269410.0,VND,pdf
KDC,2020,22,Total shareholders' equity,5957272877780.0,VND,pdf
KDC,2020,23,Market value of equity,9259102931882.414,VND,yahoo
KDC,2020,30,Current assets,36808493045.0,VND,pdf
KDC,2020,33,Total inventory,4302666161.0,VND,pdf
KDC,2020,38,Firm age,27.0,years,yahoo
KDC,2021,1,Managerial ownership,10.0,%,yahoo
KDC,2021,5,Total share outstanding,289806316.0,shares,yahoo
KDC,2021,6,Total sales revenue and Net sales revenue,11508839428961.0,VND,pdf
KDC,2021,8,Selling expenses,-709149704725.0,VND,pdf
KDC,2021,9,General and administrative expenditure,528528719902.0,VND,pdf
KDC,2021,10,Value of intangible assets,10212664088.0,VND,pdf
KDC,2021,14,Merchandise purchase of the year,-10307853464101.0,VND,pdf
KDC,2021,17,Production cost,-10307853464101.0,VND,pdf
KDC,2021,21,Net Income,4541091125598.0,VND,pdf
KDC,2021,22,Total shareholders' equity,6296260363968.0,VND,pdf
KDC,2021,23,Market value of equity,14864614241785.062,VND,yahoo
KDC,2021,28,Cash and cash equivalent,769192809384.0,VND,pdf
KDC,2021,30,Current assets,4182943060802.0,VND,pdf
KDC,2021,32,Growth ratio,269.45,%,computed
KDC,2021,33,Total inventory,561773538573.0,VND,pdf
KDC,2021,38,Firm age,28.0,years,yahoo
KDC,2022,1,Managerial ownership,10.0,%,yahoo
KDC,2022,5,Total share outstanding,289806316.0,shares,yahoo
KDC,2022,6,Total sales revenue and Net sales revenue,14951913906439.0,VND,pdf
KDC,2022,8,Selling expenses,-972863977207.0,VND,pdf
KDC,2022,9,General and administrative expenditure,121441478262.0,VND,pdf
KDC,2022,10,Value of intangible assets,9102813913.0,VND,pdf
KDC,2022,14,Merchandise purchase of the year,-13368669209522.0,VND,pdf
KDC,2022,17,Production cost,-13368669209522.0,VND,pdf
KDC,2022,21,Net Income,1591122176288.0,VND,pdf
KDC,2022,22,Total shareholders' equity,6697733414658.0,VND,pdf
KDC,2022,23,Market value of equity,17892591007323.516,VND,yahoo
KDC,2022,30,Current assets,38482608514.0,VND,pdf
